No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,PDF_Matched_Description,PDF_Formula,PDF_Amount_AED,PDF_Amount_USD,PDF_Qty,PDF_Unit_Rate,PDF_Source_File,PDF_Matched_By,PDF_Confidence,PDF_Extraction_Status,Evidence_Summary,Validation_Notes
18,BAMF0017824,HVDC-ADOPT-SCT-0122,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
19,BAMF0017824,HVDC-ADOPT-SCT-0122,3,CONTRACT,TERMINAL HANDLING FEE (1 X 20DC),372.0,,1,372.0,372.0,372.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,5,,,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)"
20,BAMF0017824,HVDC-ADOPT-SCT-0122,4,CONTRACT,TRANSPORTATION CHARGES (1 X 20DC) FROM KHALIFA PORT TO DSV MUSSAFAH YARD,252.0,,1,252.0,252.0,252.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ Contract: Ref $252.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
21,BAMF0017824,HVDC-ADOPT-SCT-0122,5,AT COST,CARRIER CONTAINER INSPECTION FEE (1 X 20DC),40.84411164057182,=150/3.6725,1,40.84411164057182,40.84,40.84,-0.004111640571814235,PASS,40.84,0.01,N/A,AtCost,70,FAIL,5,,=150/3.6725,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ Ref Rate: $40.84
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =150/3.6725
✅ Delta: 0.0% (EXACT MATCH)"
22,BAMF0017824,HVDC-ADOPT-SCT-0122,6,AT COST,CARRIER CONTAINER PROTECTION FEE (1 X 20DC),8.168822328114365,=30/3.6725,1,8.168822328114365,8.17,8.17,0.001177671885635334,PASS,8.17,-0.01,N/A,AtCost,70,FAIL,5,,=30/3.6725,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ Ref Rate: $8.17
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =30/3.6725
✅ Delta: -0.0% (EXACT MATCH)"
23,BAMF0017824,HVDC-ADOPT-SCT-0122,7,AT COST,PORT CONTAINER INSPECTION & WASHING FEE (1 X 20DC),21.78352620830497,=(25+55)/3.6725,1,21.78352620830497,21.78,21.78,-0.0035262083049687476,REVIEW_NEEDED,,,N/A,AtCost,70,FAIL,5,,=(25+55)/3.6725,,,,,HVDC-ADOPT-SCT-0122_BOE.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf, ...","✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0122_BOE.pdf, HVDC-ADOPT-SCT-0122_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0122_DN.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =(25+55)/3.6725"
24,BAMF0017825,HVDC-ADOPT-SCT-0131,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ Contract: Ref $80.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
25,BAMF0017825,HVDC-ADOPT-SCT-0131,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
26,BAMF0017825,HVDC-ADOPT-SCT-0131,3,CONTRACT,TERMINAL HANDLING CHARGES (CW: 2136 KG),0.55,,2136,1174.8000000000002,0.55,1174.8000000000002,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,5,,,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)"
27,BAMF0017825,HVDC-ADOPT-SCT-0131,4,CONTRACT,TRANSPORTATION CHARGES (1 FB) FROM AUH AIRPORT TO MOSB,200.0,,1,200.0,200.0,200.0,0.0,PASS,200.0,0.0,PASS,Contract,100,PASS,5,,,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ Contract: Ref $200.00 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
28,BAMF0017825,HVDC-ADOPT-SCT-0131,5,AT COST,APPOINTMENT FEE,7.351940095302927,=27/3.6725,1,7.351940095302927,7.35,7.35,-0.0019400953029276025,PASS,7.35,0.03,PASS,PortalFee,70,FAIL,5,,=27/3.6725,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ Portal Fee: $7.35 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =27/3.6725
✅ Delta: 0.0% (EXACT MATCH)"
29,BAMF0017825,HVDC-ADOPT-SCT-0131,6,AT COST,DPC FEE,9.530292716133424,=35/3.6725,1,9.530292716133424,9.53,9.53,-0.00029271613342451985,PASS,9.53,0.0,PASS,PortalFee,70,FAIL,5,,=35/3.6725,,,,,HVDC-ADOPT-SCT-0131_AirportFees.pdf,,0.0,Failed,"5 PDFs: HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf, ...","✅ Portal Fee: $9.53 from Config
✅ PDF Verified: 5 files (HVDC-ADOPT-SCT-0131_AirportFees.pdf, HVDC-ADOPT-SCT-0131_Appointment.pdf, HVDC-ADOPT-SCT-0131_BOE.pdf)
❌ CRITICAL: At Cost requires PDF verification - No PDF data found!
✅ Formula: =35/3.6725
✅ Delta: 0.0% (EXACT MATCH)"
30,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,,,,,,,"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
31,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,100,PASS,6,,,,,,,"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf, ...","✅ Contract: Ref $150.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
32,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",3,CONTRACT,TERMINAL HANDLING FEE (1 X 40HC),479.0,,1,479.0,479.0,479.0,0.0,REVIEW_NEEDED,,,N/A,Contract,70,FAIL,6,,,,,,,"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf, ...","✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf)"
33,BAMF0017918,"HVDC-ADOPT-SCT-0123, 0124",4,CONTRACT,TRANSPORTATION CHARGES (1 X 40HC) FROM KP TO DSV MUSSAFAH YARD,252.0,,1,252.0,252.0,252.0,0.0,PASS,252.0,0.0,PASS,Contract,100,PASS,6,,,,,,,"HVDC-ADOPT-SCT-0123, 0124_BOE.pdf",,0.0,Failed,"6 PDFs: HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf, ...","✅ Contract: Ref $252.00 from Config
✅ PDF Verified: 6 files (HVDC-ADOPT-SCT-0123, 0124_BOE.pdf, HVDC-ADOPT-SCT-0123, 0124_CarrierInvoice.pdf, HVDC-ADOPT-SCT-0123, 0124_DN.pdf)
✅ Delta: 0.0% (EXACT MATCH)"
